CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,NPOPCHG_2000,NPOPCHG_2001,NPOPCHG_2002,NPOPCHG_2003,NPOPCHG_2004,NPOPCHG_2005,NPOPCHG_2006,NPOPCHG_2007,NPOPCHG_2008,NPOPCHG_2009,NATURALINC2000,NATURALINC2001,NATURALINC2002,NATURALINC2003,NATURALINC2004,NATURALINC2005,NATURALINC2006,NATURALINC2007,NATURALINC2008,NATURALINC2009,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,BIRTHS2005,BIRTHS2006,BIRTHS2007,BIRTHS2008,BIRTHS2009,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,DEATHS2005,DEATHS2006,DEATHS2007,DEATHS2008,DEATHS2009,NETMIG2000,NETMIG2001,NETMIG2002,NETMIG2003,NETMIG2004,NETMIG2005,NETMIG2006,NETMIG2007,NETMIG2008,NETMIG2009,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNATIONALMIG2005,INTERNATIONALMIG2006,INTERNATIONALMIG2007,INTERNATIONALMIG2008,INTERNATIONALMIG2009,DOMESTICMIG2000,DOMESTICMIG2001,DOMESTICMIG2002,DOMESTICMIG2003,DOMESTICMIG2004,DOMESTICMIG2005,DOMESTICMIG2006,DOMESTICMIG2007,DOMESTICMIG2008,DOMESTICMIG2009,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,RESIDUAL2005,RESIDUAL2006,RESIDUAL2007,RESIDUAL2008,RESIDUAL2009
10500,,13007,"Baker County, GA",County or equivalent,4074,4074,4053,4038,3954,4154,4056,3996,3902,3744,3772,3637,-21,-15,-84,200,-98,-60,-94,-158,28,-135,2,2,-2,-3,-10,-1,2,11,15,17,8,41,42,38,32,32,31,37,30,28,6,39,44,41,42,33,29,26,15,11,-22,-12,-79,192,-83,-59,-99,-174,9,-166,0,5,4,3,4,4,4,3,3,3,-22,-17,-83,189,-87,-63,-103,-177,6,-169,-1,-5,-3,11,-5,0,3,5,4,14
10500,,13095,"Dougherty County, GA",County or equivalent,96065,96067,95884,96129,95783,95574,95051,95177,94990,95301,95322,95859,-183,245,-346,-209,-523,126,-187,311,21,537,169,789,620,593,508,682,782,735,725,708,358,1632,1445,1466,1457,1488,1651,1658,1623,1566,189,843,825,873,949,806,869,923,898,858,-348,-453,-888,-688,-934,-469,-900,-417,-706,-145,43,113,43,-114,193,90,145,75,101,91,-391,-566,-931,-574,-1127,-559,-1045,-492,-807,-236,-4,-91,-78,-114,-97,-87,-69,-7,2,-26
10500,,13177,"Lee County, GA",County or equivalent,24757,24757,24884,26745,27727,28837,29926,30881,32180,33028,33804,34410,127,1861,982,1110,1089,955,1299,848,776,606,45,190,212,158,193,196,174,191,219,214,84,325,338,296,341,331,340,359,380,378,39,135,126,138,148,135,166,168,161,164,82,278,313,314,911,754,1118,648,549,392,10,29,26,16,31,26,29,24,26,24,72,249,287,298,880,728,1089,624,523,368,0,1393,457,638,-15,5,7,9,8,0
10500,,13273,"Terrell County, GA",County or equivalent,10970,10970,10968,10950,10823,10897,10792,10545,10430,10258,10268,10320,-2,-18,-127,74,-105,-247,-115,-172,10,52,23,73,24,10,21,33,45,44,32,-1,48,193,152,159,154,168,156,158,140,141,25,120,128,149,133,135,111,114,108,142,-23,-79,-145,76,-115,-272,-153,-221,-22,55,0,2,2,1,3,4,4,3,3,3,-23,-81,-147,75,-118,-276,-157,-224,-25,52,-2,-12,-6,-12,-11,-8,-7,5,0,-2
10500,,13321,"Worth County, GA",County or equivalent,21967,22000,21968,21971,21767,21723,21664,21432,21473,21315,21322,21214,-32,3,-204,-44,-59,-232,41,-158,7,-108,17,104,117,64,38,70,52,58,58,18,70,302,299,264,245,296,269,269,256,228,53,198,182,200,207,226,217,211,198,210,-48,-80,-305,-78,-79,-282,7,-217,-55,-140,0,9,8,6,13,11,13,10,12,10,-48,-89,-313,-84,-92,-293,-6,-227,-67,-150,-1,-21,-16,-30,-18,-20,-18,1,4,14
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,825875,825879,827227,829490,833752,839741,843928,846357,850541,852019,854301,857592,1348,2263,4262,5989,4187,2429,4184,1478,2282,3291,566,1730,1503,1982,1785,1667,2093,2054,2116,2312,2403,9437,9251,9582,9467,9333,9467,9482,9530,9780,1837,7707,7748,7600,7682,7666,7374,7428,7414,7468,755,1343,3542,5019,3096,1658,2728,-446,223,965,417,1471,1303,951,1161,1050,1132,983,988,970,338,-128,2239,4068,1935,608,1596,-1429,-765,-5,27,-810,-783,-1012,-694,-896,-637,-130,-57,14
10580,,36001,"Albany County, NY",County or equivalent,294565,294571,294960,295378,296644,298491,298819,298605,299033,298246,297537,298284,389,418,1266,1847,328,-214,428,-787,-709,747,144,295,416,406,319,261,524,480,561,564,839,3200,3257,3238,3166,3106,3212,3147,3209,3218,695,2905,2841,2832,2847,2845,2688,2667,2648,2654,224,419,1138,1805,235,-159,137,-1239,-1271,218,217,733,677,557,542,533,545,492,477,475,7,-314,461,1248,-307,-692,-408,-1731,-1748,-257,21,-296,-288,-364,-226,-316,-233,-28,1,-35
10580,,36083,"Rensselaer County, NY",County or equivalent,152538,152540,152627,152253,152206,152881,153791,153909,154719,155294,155751,155541,87,-374,-47,675,910,118,810,575,457,-210,37,256,154,259,291,343,345,325,393,381,408,1753,1647,1731,1739,1779,1733,1801,1800,1816,371,1497,1493,1472,1448,1436,1388,1476,1407,1435,40,-476,-54,618,746,-65,576,279,91,-578,70,272,249,206,197,190,201,184,184,185,-30,-748,-303,412,549,-255,375,95,-93,-763,10,-154,-147,-202,-127,-160,-111,-29,-27,-13
10580,,36091,"Saratoga County, NY",County or equivalent,200635,200635,201570,204104,206672,209711,211745,213245,214925,216259,217958,220069,935,2534,2568,3039,2034,1500,1680,1334,1699,2111,297,1048,820,1085,914,752,884,882,806,860,646,2477,2358,2511,2385,2362,2373,2400,2354,2452,349,1429,1538,1426,1471,1610,1489,1518,1548,1592,644,1681,1926,2142,1306,972,939,493,908,1213,58,173,108,-27,198,113,157,103,122,109,586,1508,1818,2169,1108,859,782,390,786,1104,-6,-195,-178,-188,-186,-224,-143,-41,-15,38
10580,,36093,"Schenectady County, NY",County or equivalent,146555,146551,146481,145997,146612,146967,147707,148687,149973,150288,151252,152169,-70,-484,615,355,740,980,1286,315,964,917,86,129,133,225,263,319,360,339,368,484,433,1700,1692,1807,1881,1793,1870,1843,1861,1978,347,1571,1559,1582,1618,1474,1510,1504,1493,1494,-159,-475,622,348,602,824,1051,7,610,410,72,291,268,216,222,213,228,204,203,200,-231,-766,354,132,380,611,823,-197,407,210,3,-138,-140,-218,-125,-163,-125,-31,-14,23
10580,,36095,"Schoharie County, NY",County or equivalent,31582,31582,31589,31758,31618,31691,31866,31911,31891,31932,31803,31529,7,169,-140,73,175,45,-20,41,-129,-274,2,2,-20,7,-2,-8,-20,28,-12,23,77,307,297,295,296,293,279,291,306,316,75,305,317,288,298,301,299,263,318,293,6,194,-90,106,207,86,25,14,-115,-298,0,2,1,-1,2,1,1,0,2,1,6,192,-91,107,205,85,24,14,-117,-299,-1,-27,-30,-40,-30,-33,-25,-1,-2,1
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,729649,729648,731712,739531,753670,766154,780865,798722,817973,834685,846582,857903,2064,7819,14139,12484,14711,17857,19251,16712,11897,11321,1453,5387,5227,5696,5318,5882,5530,6312,6345,6333,2635,10813,10915,11310,11181,11760,11778,12575,12624,12629,1182,5426,5688,5614,5863,5878,6248,6263,6279,6296,579,3180,9472,7531,10243,12708,14265,10431,5611,5062,642,2291,2075,1521,2312,2194,2361,1998,2016,1967,-63,889,7397,6010,7931,10514,11904,8433,3595,3095,32,-748,-560,-743,-850,-733,-544,-31,-59,-74
10740,,35001,"Bernalillo County, NM",County or equivalent,556678,556002,557158,562515,573726,582986,594644,607825,619490,628825,635444,642527,1156,5357,11211,9260,11658,13181,11665,9335,6619,7083,1090,4117,3973,4477,4217,4792,4428,5066,4967,4805,2045,8352,8426,8870,8780,9349,9290,9860,9728,9661,955,4235,4453,4393,4563,4557,4862,4794,4761,4856,32,1826,7654,5425,8062,8951,7655,4390,1774,2387,576,2013,1822,1319,2059,1948,2104,1776,1794,1751,-544,-187,5832,4106,6003,7003,5551,2614,-20,636,34,-586,-416,-642,-621,-562,-418,-121,-122,-109
10740,,35043,"Sandoval County, NM",County or equivalent,89908,90584,91249,93159,95680,98403,101284,105720,112056,117824,122465,125988,665,1910,2521,2723,2881,4436,6336,5768,4641,3523,219,679,674,711,572,652,681,741,856,957,317,1262,1303,1325,1248,1308,1401,1491,1684,1738,98,583,629,614,676,656,720,750,828,781,453,1315,1908,2025,2451,3875,5725,4946,3731,2542,20,106,95,70,94,89,96,82,83,80,433,1209,1813,1955,2357,3786,5629,4864,3648,2462,-7,-84,-61,-13,-142,-91,-70,81,54,24
10740,,35057,"Torrance County, NM",County or equivalent,16911,16910,16939,16679,16544,16902,17229,16712,16740,16577,16327,16475,29,-260,-135,358,327,-517,28,-163,-250,148,22,92,67,42,83,57,26,24,96,59,46,208,179,175,198,177,171,174,209,182,24,116,112,133,115,120,145,150,113,123,7,-338,-192,316,264,-565,14,-189,-355,82,3,19,18,18,22,23,22,21,21,21,4,-357,-210,298,242,-588,-8,-210,-376,61,0,-14,-10,0,-20,-9,-12,2,9,7
10740,,35061,"Valencia County, NM",County or equivalent,66152,66152,66366,67178,67720,67863,67708,68465,69687,71459,72346,72913,214,812,542,143,-155,757,1222,1772,887,567,122,499,513,466,446,381,395,481,426,512,227,991,1007,940,955,926,916,1050,1003,1048,105,492,494,474,509,545,521,569,577,536,87,377,102,-235,-534,447,871,1284,461,51,43,153,140,114,137,134,139,119,118,115,44,224,-38,-349,-671,313,732,1165,343,-64,5,-64,-73,-88,-67,-71,-44,7,0,4
10780,,,"Alexandria, LA",Metropolitan Statistical Area,145035,145035,145079,144918,145137,145545,146360,147128,152167,152717,153451,154101,44,-161,219,408,815,768,5039,550,734,650,181,587,657,488,624,581,639,825,888,652,547,2166,2154,2092,2170,2152,2181,2320,2307,2250,366,1579,1497,1604,1546,1571,1542,1495,1419,1598,-144,-726,-399,32,178,224,2425,-572,-131,7,17,89,71,33,108,90,106,84,90,84,-161,-815,-470,-1,70,134,2319,-656,-221,-77,7,-22,-39,-112,13,-37,1975,297,-23,-9
10780,,22043,"Grant Parish, LA",County or equivalent,18698,18696,18687,18642,18670,18739,18984,19282,19731,19774,19974,20164,-9,-45,28,69,245,298,449,43,200,190,11,68,83,39,54,43,64,75,48,64,67,269,261,234,254,247,266,279,258,262,56,201,178,195,200,204,202,204,210,198,-22,-95,-35,58,211,275,399,-28,153,129,1,2,0,-5,5,1,3,1,2,0,-23,-97,-35,63,206,274,396,-29,151,129,2,-18,-20,-28,-20,-20,-14,-4,-1,-3
10780,,22079,"Rapides Parish, LA",County or equivalent,126337,126339,126392,126276,126467,126806,127376,127846,132436,132943,133477,133937,53,-116,191,339,570,470,4590,507,534,460,170,519,574,449,570,538,575,750,840,588,480,1897,1893,1858,1916,1905,1915,2041,2049,1988,310,1378,1319,1409,1346,1367,1340,1291,1209,1400,-122,-631,-364,-26,-33,-51,2026,-544,-284,-122,16,87,71,38,103,89,103,83,88,84,-138,-718,-435,-64,-136,-140,1923,-627,-372,-206,5,-4,-19,-84,33,-17,1989,301,-22,-6
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,740395,740400,741937,748739,756321,765926,776048,786034,796488,805352,811669,816012,1537,6802,7582,9605,10122,9986,10454,8864,6317,4343,472,1308,1121,1561,1598,1608,1673,2262,2231,1970,2129,8653,8518,8845,9137,9117,9156,9601,9651,9579,1657,7345,7397,7284,7539,7509,7483,7339,7420,7609,1020,5911,6855,8428,9036,8918,9172,6670,4174,2346,468,1747,1716,1582,1565,1652,2005,1782,1829,1835,552,4164,5139,6846,7471,7266,7167,4888,2345,511,45,-417,-394,-384,-512,-540,-391,-68,-88,27
10900,,34041,"Warren County, NJ",County or equivalent,102437,102438,102958,105319,106955,108349,108748,109167,109450,109684,109897,109638,520,2361,1636,1394,399,419,283,234,213,-259,152,521,430,521,318,402,362,347,299,303,336,1291,1327,1400,1275,1294,1245,1238,1220,1215,184,770,897,879,957,892,883,891,921,912,366,1908,1292,984,165,126,-2,-103,-75,-554,57,256,247,221,210,213,222,203,199,201,309,1652,1045,763,-45,-87,-224,-306,-274,-755,2,-68,-86,-111,-84,-109,-77,-10,-11,-8
10900,,42025,"Carbon County, PA",County or equivalent,58802,58795,58826,59201,59549,59991,60645,61532,62098,63163,63623,63865,31,375,348,442,654,887,566,1065,460,242,-27,-178,-193,-134,-100,-150,-243,-138,-51,-90,149,594,597,583,648,616,623,638,690,672,176,772,790,717,748,766,866,776,741,762,55,598,583,617,827,1102,854,1194,514,333,5,19,17,14,19,16,18,15,16,17,50,579,566,603,808,1086,836,1179,498,316,3,-45,-42,-41,-73,-65,-45,9,-3,-1
10900,,42077,"Lehigh County, PA",County or equivalent,312090,312090,312688,314790,316676,320354,324428,329026,333969,337688,341184,343519,598,2102,1886,3678,4074,4598,4943,3719,3496,2335,225,533,642,793,836,1025,1048,1283,1307,1078,936,3779,3819,3871,4017,4197,4225,4392,4374,4299,711,3246,3177,3078,3181,3172,3177,3109,3067,3221,354,1875,1558,3206,3560,3905,4149,2485,2230,1238,262,896,880,812,801,858,1079,953,984,986,92,979,678,2394,2759,3047,3070,1532,1246,252,19,-306,-314,-321,-322,-332,-254,-49,-41,19
10900,,42095,"Northampton County, PA",County or equivalent,267066,267077,267465,269429,273141,277232,282227,286309,290971,294817,296965,298990,388,1964,3712,4091,4995,4082,4662,3846,2148,2025,122,432,242,381,544,331,506,770,676,679,708,2989,2775,2991,3197,3010,3063,3333,3367,3393,586,2557,2533,2610,2653,2679,2557,2563,2691,2714,245,1530,3422,3621,4484,3785,4171,3094,1505,1329,144,576,572,535,535,565,686,611,630,631,101,954,2850,3086,3949,3220,3485,2483,875,698,21,2,48,89,-33,-34,-15,-18,-33,17
11020,,,"Altoona, PA",Metropolitan Statistical Area,129144,129144,129030,128336,127346,126844,126532,125882,126008,125987,125923,126122,-114,-694,-990,-502,-312,-650,126,-21,-64,199,24,-175,-270,-120,-150,-208,-163,-103,-80,-143,365,1485,1413,1483,1441,1449,1426,1449,1473,1458,341,1660,1683,1603,1591,1657,1589,1552,1553,1601,-144,-398,-611,-209,-61,-306,355,106,29,330,4,39,34,28,40,34,38,34,34,33,-148,-437,-645,-237,-101,-340,317,72,-5,297,6,-121,-109,-173,-101,-136,-66,-24,-13,12
11020,,42013,"Blair County, PA",County or equivalent,129144,129144,129030,128336,127346,126844,126532,125882,126008,125987,125923,126122,-114,-694,-990,-502,-312,-650,126,-21,-64,199,24,-175,-270,-120,-150,-208,-163,-103,-80,-143,365,1485,1413,1483,1441,1449,1426,1449,1473,1458,341,1660,1683,1603,1591,1657,1589,1552,1553,1601,-144,-398,-611,-209,-61,-306,355,106,29,330,4,39,34,28,40,34,38,34,34,33,-148,-437,-645,-237,-101,-340,317,72,-5,297,6,-121,-109,-173,-101,-136,-66,-24,-13,12
11100,,,"Amarillo, TX",Metropolitan Statistical Area,226522,226522,227117,228333,230227,232791,235113,237767,239878,241848,243682,246474,595,1216,1894,2564,2322,2654,2111,1970,1834,2792,434,1632,1424,1586,1822,1726,1767,1802,1722,1813,906,3575,3505,3694,3872,3800,3795,3895,3893,3923,472,1943,2081,2108,2050,2074,2028,2093,2171,2110,162,-178,716,1265,750,1126,457,125,80,891,144,589,553,488,472,493,490,437,437,443,18,-767,163,777,278,633,-33,-312,-357,448,-1,-238,-246,-287,-250,-198,-113,43,32,88
11100,,48011,"Armstrong County, TX",County or equivalent,2148,2148,2166,2149,2071,2053,2094,2124,2093,2059,2084,2065,18,-17,-78,-18,41,30,-31,-34,25,-19,7,-6,-1,-9,-5,0,-4,-5,16,14,11,17,26,19,24,27,21,19,31,28,4,23,27,28,29,27,25,24,15,14,11,-8,-77,-8,49,32,-25,-30,6,-38,0,1,1,1,0,1,0,1,0,1,11,-9,-78,-9,49,31,-25,-31,6,-39,0,-3,0,-1,-3,-2,-2,1,3,5
11100,,48065,"Carson County, TX",County or equivalent,6516,6516,6505,6379,6488,6355,6329,6376,6323,6256,6164,6110,-11,-126,109,-133,-26,47,-53,-67,-92,-54,1,25,3,10,19,10,2,-7,14,10,16,83,73,75,76,77,60,63,77,77,15,58,70,65,57,67,58,70,63,67,-13,-146,108,-143,-39,43,-50,-61,-107,-68,0,3,2,1,2,2,2,2,2,2,-13,-149,106,-144,-41,41,-52,-63,-109,-70,1,-5,-2,0,-6,-6,-5,1,1,4
11100,,48375,"Potter County, TX",County or equivalent,113546,113546,113733,114567,115809,117549,118324,119559,120711,120758,121143,121816,187,834,1242,1740,775,1235,1152,47,385,673,258,1105,838,930,1229,1095,1126,1116,946,1006,542,2253,2102,2160,2394,2303,2271,2288,2179,2245,284,1148,1264,1230,1165,1208,1145,1172,1233,1239,-70,-159,534,969,-338,254,98,-1095,-575,-356,113,452,427,381,355,375,370,328,327,333,-183,-611,107,588,-693,-121,-272,-1423,-902,-689,-1,-112,-130,-159,-116,-114,-72,26,14,23
11100,,48381,"Randall County, TX",County or equivalent,104312,104312,104713,105238,105859,106834,108366,109708,110751,112775,114291,116483,401,525,621,975,1532,1342,1043,2024,1516,2192,168,508,584,655,579,621,643,698,746,783,337,1222,1304,1440,1378,1393,1443,1525,1606,1573,169,714,720,785,799,772,800,827,860,790,234,135,151,447,1078,797,434,1311,756,1353,31,133,123,105,115,115,118,106,108,107,203,2,28,342,963,682,316,1205,648,1246,-1,-118,-114,-127,-125,-76,-34,15,14,56
11180,,,"Ames, IA",Metropolitan Statistical Area,79981,79981,80127,80057,81612,81453,81897,81757,83476,85232,86219,87214,146,-70,1555,-159,444,-140,1719,1756,987,995,100,511,460,469,450,388,560,539,499,540,204,984,898,953,900,881,1013,1014,1033,1034,104,473,438,484,450,493,453,475,534,494,42,-520,1157,-572,64,-447,1217,1224,502,475,128,525,490,417,394,397,408,379,365,367,-86,-1045,667,-989,-330,-844,809,845,137,108,4,-61,-62,-56,-70,-81,-58,-7,-14,-20
11180,,19169,"Story County, IA",County or equivalent,79981,79981,80127,80057,81612,81453,81897,81757,83476,85232,86219,87214,146,-70,1555,-159,444,-140,1719,1756,987,995,100,511,460,469,450,388,560,539,499,540,204,984,898,953,900,881,1013,1014,1033,1034,104,473,438,484,450,493,453,475,534,494,42,-520,1157,-572,64,-447,1217,1224,502,475,128,525,490,417,394,397,408,379,365,367,-86,-1045,667,-989,-330,-844,809,845,137,108,4,-61,-62,-56,-70,-81,-58,-7,-14,-20
11260,,,"Anchorage, AK",Metropolitan Statistical Area,319605,319605,320434,325839,332703,339131,346057,351851,359341,360908,365790,374553,829,5405,6864,6428,6926,5794,7490,1567,4882,8763,871,3578,3365,3473,3975,3762,4030,4139,4131,4053,1227,4992,4959,5008,5435,5365,5601,5831,5857,5867,356,1414,1594,1535,1460,1603,1571,1692,1726,1814,-49,2164,3745,3184,3321,2358,3683,-2675,716,4653,347,700,213,-809,1298,638,1029,538,694,602,-396,1464,3532,3993,2023,1720,2654,-3213,22,4051,7,-337,-246,-229,-370,-326,-223,103,35,57
11260,,2020,"Anchorage Municipality, AK",County or equivalent,260283,260283,260586,263929,268163,271616,274852,276863,279935,278504,280471,286174,303,3343,4234,3453,3236,2011,3072,-1431,1967,5703,734,3031,2807,2967,3265,3089,3204,3302,3256,3140,1008,4150,4095,4185,4403,4313,4404,4568,4592,4542,274,1119,1288,1218,1138,1224,1200,1266,1336,1402,-445,606,1665,783,196,-811,32,-4811,-1296,2540,334,650,184,-793,1233,600,975,508,655,568,-779,-44,1481,1576,-1037,-1411,-943,-5319,-1951,1972,14,-294,-238,-297,-225,-267,-164,78,7,23
11260,,2170,"Matanuska-Susitna Borough, AK",County or equivalent,59322,59322,59848,61910,64540,67515,71205,74988,79406,82404,85319,88379,526,2062,2630,2975,3690,3783,4418,2998,2915,3060,137,547,558,506,710,673,826,837,875,913,219,842,864,823,1032,1052,1197,1263,1265,1325,82,295,306,317,322,379,371,426,390,412,396,1558,2080,2401,3125,3169,3651,2136,2012,2113,13,50,29,-16,65,38,54,30,39,34,383,1508,2051,2417,3060,3131,3597,2106,1973,2079,-7,-43,-8,68,-145,-59,-59,25,28,34
